"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KO:K08927",0.298962927924715,0,5.3626617640772,0,1,NA
"KO:K08930",0.275160005503938,0,5.36838155587237,0,1,NA
"KO:K08940",46.2330096236451,-26.5134353205555,5.34887065139182,-4.9568286557194,7.16531137827713e-07,7.15999681150751e-05
"KO:K08941",18.1943736529525,-25.4424167748807,5.34917731362557,-4.75632331537657,1.97150631743499e-06,0.000148350534003958
"KO:K08942",16.2073914306883,-25.1705550410703,5.34895647849924,-4.70569449242041,2.53003165899623e-06,0.000167187233097419
"KO:K08943",24.3584131978395,-25.2361965245009,5.34891171746968,-4.71800580332609,2.38167702051298e-06,0.00016626801841317
"KO:K08944",72.2359555196571,-8.05862592129493,5.32243418828581,-1.51408653187882,0.130003894079742,0.511921992508715
"KO:K08945",62.9521344107645,-8.61307915876651,5.32340484422973,-1.61796433124988,0.105670284818247,0.459436020948899
"KO:K08946",39.5944642134897,-26.4594655965841,5.34887923411466,-4.94673078947605,7.54702366618359e-07,7.15999681150751e-05
"KO:K08947",62.6410919464079,-26.9733300147774,5.34885874042852,-5.04281965999656,4.58721540011783e-07,5.23735487281755e-05
"KO:K08948",23.4723842107738,-25.2773700079052,5.34891706034776,-4.72569862697812,2.29325549454019e-06,0.00016626801841317
"KO:K08949",23.0214523772052,-25.7262148237161,5.34915536594856,-4.80939757096662,1.51385844751818e-06,0.000121766875126462
"KO:K08950",17.0288363502697,-25.1453308977902,5.348966150438,-4.70097027922511,2.58928203394654e-06,0.000167187233097419
"KO:K08951",19.0194659057522,-25.7263622700967,5.34894169078139,-4.80961725838864,1.51219567082458e-06,0.000121766875126462
"KO:K08952",16.3378049128553,-25.249600745201,5.34919012616328,-4.72026608695461,2.35536326032277e-06,0.00016626801841317
"KO:K08953",17.957921382325,-25.1798400833099,5.34894284875205,-4.70744234801173,2.50844191448412e-06,0.000167187233097419
"KO:K08954",279.998093690994,-9.19391932406567,5.32176637113459,-1.72760671605836,0.0840587579138032,0.417021011429275
"KO:K08955",0.197533155100841,0,5.36745512243988,0,1,NA
"KO:K08956",0.0824908348350337,-0.0144823203291698,5.33721215919592,-0.00271346161576453,0.997834973527253,NA
"KO:K08963",36.9808009345665,-1.25993843342488,0.964236485951627,-1.30666952742554,0.191324972176507,0.5933800478232
"KO:K08964",32.0524407696184,-1.27874468912934,1.20209320402764,-1.0637650099384,0.287435165883567,0.696212995196572
"KO:K08965",0.401838752507379,0,5.3579015164333,0,1,NA
"KO:K08967",38.264424474674,-0.507414866014546,1.17661963362809,-0.431248001913702,0.666288054433764,0.933698579144729
"KO:K08969",1.75911908662761,-3.26630444258717,5.33111051124598,-0.612687438329575,0.540083030060903,NA
"KO:K08970",1.21677766655202,0.647648055540536,5.32804305105782,0.121554583800135,0.903251783552338,NA
"KO:K08972",1187.70449119454,-3.39176721018641,1.54925890537445,-2.18928366228538,0.028576229077023,0.223063391529504
"KO:K08973",33.0882691997327,-7.99020511860553,1.92052327652696,-4.16043128259027,3.17647182678503e-05,0.0012774941042505
"KO:K08974",0.352970563408554,0,5.36657869794261,0,1,NA
"KO:K08975",13.3004912783223,-1.46869548099457,1.65471043324481,-0.887584589718534,0.374764246017838,0.776387295781635
"KO:K08976",6.19014221295336,-3.1589496990201,1.91832816414301,-1.64672017961605,0.0996155744494574,0.451909263294069
"KO:K08977",1.76999290966507,1.35901784838434,3.47600892270924,0.390970759455102,0.695818849617746,NA
"KO:K08978",1.75764120132211,-4.16849140171659,3.97487117092269,-1.04871107074118,0.294311117410606,NA
"KO:K08979",2.26936373145777,-4.60702387414856,4.73460158087733,-0.973054183219125,0.330526373495588,NA
"KO:K08980",0.575302803636716,0.761903863895108,5.31930519325585,0.143233718730991,0.886105600668526,NA
"KO:K08981",3.09194064387616,-4.62090526815753,2.85306571205653,-1.61962805435235,0.105312199427318,NA
"KO:K08982",7.91670370312096,-2.2988624913581,2.65268256669701,-0.866618011600435,0.386151341370987,0.78417122012769
"KO:K08983",21.0585021746477,0.218000036927868,1.31813958315177,0.165384637343651,0.868641244791443,1
"KO:K08984",13.8053705367817,-1.0276361091784,1.60656847196233,-0.639646630139081,0.522402359774988,0.870283815202859
"KO:K08985",0.465629270256904,0,5.36128423937889,0,1,NA
"KO:K08986",0.179690216713802,-3.71111950715333,5.33849595585415,-0.695161996532702,0.486953785726156,NA
"KO:K08987",9.06833326246555,1.4691012894229,2.79621305184859,0.525389611657691,0.599312373658927,0.90575259936549
"KO:K08988",0.624731726315108,-2.43970990892824,5.32378090685305,-0.458266399691189,0.646761060802818,NA
"KO:K08989",2.08703241849157,-1.14940044181711,3.06662161612535,-0.374809998003397,0.70780177810848,NA
"KO:K08992",0.0517452382471493,0,5.35940575166246,0,1,NA
"KO:K08993",1.03797667451537,0,5.35393281068582,0,1,NA
"KO:K08994",4.69653868544842,1.43781019995312,2.65595329432035,0.541353721478394,0.588263798790045,0.899040089022373
"KO:K08995",3580.22256788766,-0.560441221955398,0.889391131418636,-0.630140331016635,0.52860277448362,0.872359618906956
"KO:K08996",0.252935062417831,-3.34447248692362,5.33870705889884,-0.626457389406463,0.531014977295557,NA
"KO:K08997",0.64418756289305,0,5.36831014367095,0,1,NA
"KO:K08998",166.545990231714,-0.875271150680227,0.782958206921482,-1.11790277302503,0.263608520589388,0.674586082828838
"KO:K08999",682.682519724218,2.0226560472224,0.891675595754374,2.26837658993145,0.0233062633643954,0.202901586937089
"KO:K09000",0.176384725044469,0,5.35176863667617,0,1,NA
