Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K00055,0,0,0,51,0,61,77,11,26,51,122,16,0,0,0,58,0,47,4,8,13,6,0,21,5,3,28,4,23,18,3,11
KO:K00057,294,55,5,6,92,26,76406,13,170,28,103,30,0,46,0,6,24,37,62,50,8,56,0,10,0,39,149,77,87,57,101,114
KO:K00058,1659,506,105,30,776,214,64,135,911,374,592,207,147,511,0,122,411,535,366,386,85,0,18,31,5,428,928,612,455,431,446,631
KO:K00059,4001,1515,607,524,1667,665,319,337,2356,927,1242,566,492,1521,259,1280,1477,1647,1162,1276,423,183,66,68,75,2699,3243,2917,1659,1294,1004,1722
KO:K00060,266,20,5,9,36,24,0,8,65,39,145,0,0,76,0,4,38,12,9,26,7,0,0,0,0,32,41,22,9,8,21,45
KO:K00064,46,9,6,0,0,0,0,0,7,10,0,0,13,0,0,7,0,2,20,0,32,0,0,0,0,17,10,41,33,17,11,0
KO:K00065,114,48,40,6,97,16,0,19,42,0,6,0,74,30,0,47,31,40,18,39,15,0,0,0,0,91,109,95,42,64,13,9
KO:K00066,377,144,88,52,125,22,54,107,359,427,103,309,83,137,79,53,87,413,1126,699,59,0,16,5,13,83,147,59,101,135,80,86
KO:K00067,170,124,28,3,205,0,20,12,161,82,27,6,0,67,0,4,47,91,211,72,19,154,0,20,0,82,65,97,74,40,61,184
KO:K00068,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
