Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K07874,13,3,2,4,0,0,0,0,0,9,0,19,0,7,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,29,0,0
KO:K07877,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K07881,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K07889,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
KO:K07893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
KO:K07897,3,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K07901,4,3,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0
KO:K07904,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
KO:K07918,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K07936,0,0,0,0,5,0,0,0,16,0,0,21,0,8,0,6,48,4,0,18,2,0,0,0,0,0,0,0,0,43,0,6
KO:K07937,53,0,16,12,0,0,29,0,4,10,0,73,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,59,0,19
KO:K07941,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
KO:K07953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7
KO:K07973,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
KO:K07975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
KO:K07977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
KO:K07978,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
KO:K07979,310,112,90,90,90,0,3,24,238,173,18,17,84,178,28,44,145,167,140,17,21,0,12,10,6,291,294,193,140,125,57,206
KO:K07995,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08008,34,0,0,11,5,0,0,0,0,0,12,0,0,43,0,0,10,21,6,0,0,0,6,0,0,0,8,0,0,9,0,0
KO:K08052,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
KO:K08054,0,0,0,0,0,0,15,0,0,0,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
KO:K08056,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08057,70,21,21,0,0,0,0,8,62,17,12,0,0,44,0,22,42,4,3,45,0,0,0,0,0,0,0,0,2,0,11,5
KO:K08059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
KO:K08070,53,0,0,3,13,0,20,0,0,0,0,0,13,8,0,2,33,43,0,33,2,0,0,0,0,14,36,17,64,77,0,15
KO:K08076,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0
KO:K08081,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
KO:K08082,40,22,0,0,19,0,0,8,31,0,0,4,0,0,0,0,0,6,49,34,0,0,0,0,0,0,18,10,2,0,4,10
KO:K08083,65,30,0,0,5,0,0,0,15,3,8,4,0,0,0,0,0,8,98,43,3,0,0,5,0,0,24,39,0,0,6,15
KO:K08084,169,93,14,0,28,6,0,56,88,73,0,0,33,49,0,0,17,21,61,0,0,0,0,0,0,96,44,36,31,3,51,58
KO:K08086,1055,590,53,23,1692,0,0,93,453,457,0,15,97,189,0,9,54,212,579,224,40,0,5,65,5,372,618,450,75,51,227,657
KO:K08093,0,0,0,0,0,0,0,0,0,21,44,0,0,4,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08094,0,0,0,0,0,0,0,0,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
KO:K08095,0,0,0,0,165,61,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,74
KO:K08096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08097,79,17,8,14,35,51,11,0,24,12,29,7,0,0,0,22,19,24,6,26,0,0,0,0,0,29,4,16,30,9,0,16
KO:K08100,138,27,13,13,0,0,0,16,16,10,0,0,0,28,0,21,19,86,37,9,6,0,0,0,0,29,113,385,22,12,26,19
KO:K08115,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
KO:K08138,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
KO:K08139,4,0,0,0,0,0,31,0,0,0,0,34,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,23
KO:K08141,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,26,0,0,13,0,0,0,0,0,0,0,0,0,11,0,0
KO:K08150,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08151,47,0,15,0,14,9,0,0,0,1492,0,0,0,27,0,4,0,0,0,0,13,0,0,0,0,6,370,0,0,47,0,0
KO:K08153,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,5,4,0,0,0,0,0,0,22,0,0,0,0,0
KO:K08156,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08157,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
KO:K08161,39,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
KO:K08162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08167,8,3,0,7,16,0,0,0,14,4,52,0,0,0,0,0,30,8,0,19,3,0,0,0,0,4,0,0,25,9,4,3
KO:K08168,0,0,0,0,0,9,0,0,0,0,0,22264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
KO:K08169,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KO:K08170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
KO:K08172,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
KO:K08176,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
KO:K08177,364,39,22,51,53,137,8,25,37,16,325,41,0,63,0,0,186,88,5,125,5,0,0,0,0,35,26,88,69,69,37,6
KO:K08178,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3
KO:K08191,219,21,0,0,67,0,0,4,43,27,0,0,26,68,0,2,32,27,45,50,14,0,0,26,0,7,19,10,4,0,14,0
KO:K08193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
KO:K08194,23,11,0,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
KO:K08195,0,9,0,0,48,0,0,7,15,26,0,0,0,59,0,0,26,11,6,9,8,0,0,0,0,6,11,10,7,0,2,11
KO:K08197,0,0,0,0,0,0,41,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
KO:K08217,10,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,18,0,0,0,0,4,12,12,26,32,0,0
KO:K08218,70,15,7,68,140,0,0,6,46,57,6,7,40,66,0,23,0,63,62,60,11,0,0,4,0,9,8,36,11,7,8,35
KO:K08223,80,47,28,0,21,0,0,249,63,45,15,0,28,45,0,10,46,55,20,18,31,0,0,13,0,110,53,45,31,8,19,23
KO:K08224,49,0,0,0,0,0,0,0,27,0,0,10,0,0,0,0,0,0,9,11,0,0,0,34,0,0,50,66,28,7,0,0
KO:K08226,38,5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,11,71,0,0,0,0,10,23,17,39,0,0
KO:K08234,100,19,14,87,25,82,142,10,19,78,63,69,49,25,79,450,126,96,140,569,125,9,0,4,43,17,19,46,132,113,24,22
KO:K08243,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08244,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08245,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
KO:K08252,316,145,23,6,39,0,0,27,127,134,0,0,31,52,0,11,18,66,311,110,17,0,0,12,19,11,70,39,36,20,16,139
KO:K08253,28,5,0,0,7,0,0,0,24,49,20,0,0,0,17,29,4,8,10,44,0,0,0,0,0,15,0,0,14,6,16,22
KO:K08256,7,2,0,2,27,30,0,0,7,0,33,0,0,4,0,0,0,0,4,0,9,0,0,0,0,0,0,0,2,14,4,0
KO:K08257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
KO:K08259,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,16,0,7,0
KO:K08261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08264,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,0,0,0
KO:K08269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08276,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08281,159,27,11,36,78,11,31,24,24,29,18,22,0,21,15,32,62,45,45,71,30,0,3,10,0,28,100,70,31,27,30,75
KO:K08282,232,83,15,14,65,0,0,63,106,58,0,6,479,101,0,7,32,42,0,27,31,0,0,3,0,93,73,79,66,50,15,114
KO:K08284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
KO:K08286,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,61,0,0
KO:K08287,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
KO:K08288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
KO:K08289,10,12,0,0,7,7,0,0,33,0,0,0,0,0,0,0,0,7,78,35,0,78,0,11,0,0,0,31,7,0,7,10
KO:K08295,32,31,4,0,25,0,10,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,30,3,0,0,26
KO:K08296,159,82,30,20,269,0,11,33,45,32,0,12,0,99,0,50,38,64,101,32,25,116,0,8,0,59,116,165,164,103,40,123
KO:K08299,28,19,0,0,71,8,19,10,13,19,0,0,0,0,0,12,0,0,6,0,0,0,0,0,8,6,16,7,9,5,6,13
KO:K08300,3041,1262,2810,303,1202,463,225,544,1632,1305,794,252,501,613,346,271,640,784,721,505,182,6,20,59,35,927,1068,1018,894,502,731,1804
KO:K08301,18935,527,221,88,621,97,25,207,779,752,252,68,110,484,34,146,374,391,330,256,179,130,20,33,9,246,439,363,280,62,202,677
KO:K08302,5,0,8,0,0,0,0,19,0,0,0,0,0,11,0,8,23,0,0,0,0,0,0,0,0,6,7,14,11,10,0,0
KO:K08303,210,24,5,0,35,0,4,0,97,28,86,0,16,47,0,0,39,15,51,31,10,45,0,2,0,29,75,43,28,17,24,35
KO:K08304,168,68,9,17,41,0,0,2,8,18,14,0,10,9,65,10,68,77,148,5,110,12,0,9,28,34,47,51,204,46,43,75
KO:K08305,279,113,6,93,67,0,18,13,105,106,84,0,0,71,92,7,144,97,340,143,6,0,0,33,0,59,55,159,91,62,37,91
KO:K08306,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08307,2916,1040,467,99,712,99,11,319,1326,1193,175,75,233,793,20,134,752,834,905,362,84,192,13,107,18,409,1106,822,337,143,387,1319
KO:K08309,275,164,66,103,115,64,22,151,240,195,268,182,54,259,17,57,378,332,256,138,65,0,25,21,8,69,180,88,128,107,109,283
KO:K08310,54,19,3,20,5,0,0,0,30,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,5,53,13,7,52
KO:K08311,222,150,14,5,128,0,0,47,237,97,17,16,0,36,0,13,40,76,148,71,40,0,0,18,0,95,120,301,72,19,116,250
KO:K08312,0,21,0,0,9,0,0,0,24,8,0,0,0,0,0,0,0,0,95,20,0,0,0,3,0,0,0,0,0,4,0,0
KO:K08316,26,8,0,0,18,9,0,7,34,51,10,0,0,80,0,4,0,0,71,45,3,0,0,4,0,20,21,48,14,5,20,73
KO:K08318,7,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0
KO:K08319,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08321,131,48,36,26,47,24,15,0,72,41,18,0,0,29,0,90,50,98,26,21,18,41,9,0,6,9,33,31,18,7,13,15
KO:K08322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
KO:K08323,14,0,0,0,28,18,0,4,7,0,0,0,0,34,0,0,0,0,0,26,3,0,0,0,0,12,44,26,8,4,4,0
KO:K08324,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0
KO:K08325,4,5,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
KO:K08331,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
KO:K08332,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
KO:K08337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
KO:K08341,16,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,20,0,0
KO:K08343,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08344,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KO:K08349,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08351,37,11,7,0,6,0,0,6,17,0,0,12,19,15,0,0,0,0,0,4,13,0,0,0,0,21,14,17,0,20,5,9
KO:K08352,18,0,0,0,19,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,117,105,0,0,0,0
KO:K08354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08355,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0
KO:K08356,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0
KO:K08357,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08358,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
KO:K08359,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08363,13,6,0,0,7,0,0,0,22,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,21,11,8,3,0,10,20
KO:K08364,0,6,0,0,29,0,0,0,15,0,0,0,0,14,0,2,0,0,6,0,0,0,0,0,0,26,11,63,8,0,10,16
KO:K08365,69,0,4,0,40,0,0,0,56,38,9,0,0,7,0,14,0,36,13,0,7,0,0,0,0,12,97,23,14,0,11,29
KO:K08368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08369,5,5,0,0,22,0,0,4,2,0,0,0,0,20,0,0,0,0,9,16,0,0,0,0,0,0,6,5,16,9,9,0
KO:K08372,146,72,20,36,182,163,71,7,52,40,223,84,0,55,17,39,136,63,4,87,45,7,0,0,0,10,57,12,88,121,104,113
KO:K08384,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,5,3,0,0,0,0
KO:K08451,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08476,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08481,231,80,46,69,46,52,46,67,181,396,104,82,75,120,0,68,230,99,271,200,28,0,0,5,9,14,96,5,98,74,24,107
KO:K08482,612,249,87,128,362,60,94,34,345,474,172,67,63,153,15,172,208,303,1490,414,120,4,0,16,18,82,293,94,308,200,74,228
KO:K08483,448,172,40,48,361,151,31,0,91,98,284,166,0,126,0,74,43,62,63,210,32,53,0,4,0,68,202,94,38,159,56,1923
KO:K08484,100,51,0,0,39,0,0,0,64,13,21,0,0,0,0,0,5,26,143,44,0,0,0,2,0,54,8,59,49,12,32,69
KO:K08486,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
KO:K08488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
KO:K08495,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
KO:K08513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
KO:K08516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08568,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
KO:K08585,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08587,7,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
KO:K08589,11,4,0,0,8,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08591,190,90,22,114,118,27,37,3,67,81,16,24,0,32,0,32,27,64,105,32,94,56,2,4,0,61,123,91,197,243,37,115
KO:K08597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
KO:K08602,699,132,22,19,498,13,0,32,584,229,170,22,26,675,0,36,443,296,76,109,37,0,0,10,2,38,510,147,589,229,54,101
KO:K08603,22,0,0,0,4,0,6,10,8,0,0,0,0,15,0,0,0,10,8,8,5,0,0,0,0,0,12,5,0,5,0,0
KO:K08604,67,16,52,10,0,0,9,34,140,27,0,0,12,0,0,0,26,0,7,20,0,0,9,0,0,79,34,33,0,0,35,15
KO:K08640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
KO:K08641,9,0,0,2,59,0,58,0,16,19,0,0,0,0,0,7,9,23,16,0,0,0,0,0,0,5,7,0,9,9,22,196
KO:K08642,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,0
KO:K08646,49,25,17,0,13,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,18,0,0,13,5
KO:K08651,66,23,8,0,26,0,0,35,42,12,0,0,0,30,0,0,0,9,13,0,5,0,0,0,0,8,29,23,9,14,39,30
KO:K08654,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,0,0
KO:K08676,1082,417,498,9,206,0,0,182,582,271,7,6,154,555,0,30,206,204,159,80,57,0,22,14,0,166,328,255,41,0,148,259
KO:K08677,0,5,0,0,0,0,0,9,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0
KO:K08678,183,90,9,42,117,14,22,0,85,82,0,0,7,105,13,40,103,48,120,110,21,0,0,0,3,43,100,85,47,71,34,93
KO:K08679,295,126,46,19,165,22,36,34,87,151,17,16,123,98,0,119,152,26,64,263,27,24,0,0,6,50,129,102,14,36,28,98
KO:K08680,0,0,4,0,0,0,0,12,0,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0
KO:K08681,85,67,69,94,24,187,107,61,89,62,272,64,107,65,28,235,109,90,23,219,85,0,0,4,4,148,145,142,201,325,71,80
KO:K08685,36,72,21,0,15,0,0,7,44,67,27,0,32,22,0,6,21,15,127,34,0,0,0,0,0,17,0,34,6,0,18,26
KO:K08686,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
KO:K08688,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,5,0,0,0,0
KO:K08689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
KO:K08690,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08691,63,0,0,12,72,0,19,22,55,21,0,0,0,0,0,0,0,13,3,10,0,0,0,0,0,0,14,0,14,43,5,19
KO:K08692,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0
KO:K08693,0,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
KO:K08697,14,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5
KO:K08698,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08714,85,9,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,27,0,0,0,0,0,20,7,16,20,11,8,0
KO:K08715,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K08717,122,31,37,6,17,0,0,6,102,46,0,0,55,86,17,129,48,74,16,38,14,0,4,0,4,43,32,8,32,29,17,0
KO:K08720,183,195,8,0,308,71,16,18,139,203,0,0,0,34,0,0,23,133,341,44,0,0,0,35,0,32,94,122,7,14,20,632
