"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KO:K02395",10.756763820339,-0.0036313458842224,1.43516481678386,-0.00253026400992751,0.997981143565923,0.998255088431025
"KO:K02396",28.6791097476879,1.19266828118869,1.01662366205271,1.17316596662773,0.240729257025215,0.437296815852385
"KO:K02397",19.7323624056603,1.16271475312444,0.959535620098293,1.2117473585872,0.225609104568751,0.419234868459219
"KO:K02398",38.6958273123012,1.19444448749501,0.71195816568791,1.67768914672243,0.0934077993041847,0.233455432554492
"KO:K02399",16.1499671835679,-1.08781841668738,1.67782848140909,-0.648348999162182,0.516759248837937,0.694252008862844
"KO:K02400",35.7350249774794,1.79683298669053,1.20125645821606,1.4957946526747,NA,NA
"KO:K02401",192.422969011985,1.2034432996209,2.35426246056946,0.51117635343419,NA,NA
"KO:K02402",7.46163679862494,1.85765832146491,1.19164950414521,1.55889656732366,0.119020862933952,0.272432176213142
"KO:K02403",8.85148117641037,2.42171299828912,1.01065072124986,2.39619182707772,0.0165664177487764,0.0714414512148415
"KO:K02404",8.98177417353596,-0.269981758522028,1.38837170011066,-0.194459278088504,0.845816278435212,0.915941247725173
"KO:K02405",230.27216543649,1.93917925293212,0.544439494482955,3.56179019447097,0.000368334683249556,0.00412988180234272
"KO:K02406",761.531914062258,1.16029255871493,0.492379069823765,2.35650260099444,0.018447938453601,0.076925912901381
"KO:K02407",67.5387933474476,1.57252612705079,0.88998334911229,1.76691634581624,0.0772422391160814,0.206356832359971
"KO:K02408",10.1818227692684,-0.744570793682384,1.05238376311966,-0.707508819287743,0.479250333990379,0.662612289712456
"KO:K02409",15.5962563705855,-0.910977882404434,0.812027770565075,-1.12185557615905,0.261923851579228,0.461310060490433
"KO:K02410",8.07604675157624,0.0328642416013258,1.01647782303266,0.0323314890464363,0.974207697697539,0.986580665890512
"KO:K02411",3.99132574825997,-1.79319368813432,1.74658382756277,-1.02668630032868,0.304568202208131,0.509337553394415
"KO:K02412",5.77110911841485,-2.20350285530988,1.02262153199692,-2.15475890773295,0.0311807053938443,0.111613448384252
"KO:K02413",0.074494859555088,0.416855972093395,2.97365136131437,0.140183202885339,0.888515243007717,NA
"KO:K02414",3.75691575914514,-2.10632976070925,2.31209809630099,-0.911003630892244,0.362293460570654,0.564911155464041
"KO:K02415",4.20530767112371,0.710905771773684,1.51453887338622,0.469387603227531,0.638792607782193,0.78933884800214
"KO:K02416",6.91184483153555,0.270828051912285,1.05408305567034,0.256932364537492,0.797230985746975,0.890112208625871
"KO:K02417",7.41485872700256,-0.440040752650408,1.06648826834789,-0.412607213515888,0.679894415350875,0.818359918420014
"KO:K02418",0.756086174187839,-1.73002909302033,2.95946439645132,-0.584575065371558,0.558833477751894,NA
"KO:K02419",7.16694579595186,-0.2412061041598,0.931868626718024,-0.258841318662386,0.795757676281225,0.888945730339909
"KO:K02420",2.82878036928668,0.114002502229007,1.39777895140794,0.0815597502839599,0.934996809234914,0.963356409167498
"KO:K02421",2.34678333380358,0.669509289993891,1.31614562723006,0.508689370037972,0.610969974537723,NA
"KO:K02422",26.590432980142,0.738442288583259,1.09096788104632,0.676868954084183,0.498489103540207,0.680965381970156
"KO:K02423",0.871856515221449,2.22894883148,2.42495683373354,0.919170519026617,0.358006388645149,NA
"KO:K02424",15.5315254181267,-0.610697647181466,0.998025178731736,-0.611906052267664,0.540599917082861,0.715303593990539
"KO:K02426",122.099498892184,-2.27772477323316,0.541042226049751,-4.20988356096205,2.55502333680451e-05,0.000495239629750832
"KO:K02427",99.0075024966617,-0.301775237036622,0.460025733289197,-0.655996426284504,0.511826423618299,0.689587417651136
"KO:K02428",71.9954431000542,-0.806641754966158,0.785730888943266,-1.02661326710856,NA,NA
"KO:K02429",2.45006504888098,0.538131666663954,1.31869081882599,0.408080240630661,0.683214766114145,NA
"KO:K02431",1.86762827279242,-0.902893023248344,2.29052832747937,-0.394185486560622,0.693444100103525,NA
"KO:K02433",879.667801887272,-1.59862726492977,0.572013513534136,-2.7947368848907,NA,NA
"KO:K02434",155.835000851111,-1.04042101788678,0.428862973682936,-2.42599870292364,0.0152663248414472,0.0672455269126513
"KO:K02435",62.831012775165,0.0517474335298473,0.470390833697664,0.110009442835162,0.91240188607173,0.952935647132526
"KO:K02437",121.799954243834,0.254836113890953,0.341121894393952,0.747052939371433,0.455031605737919,0.640604974858522
"KO:K02438",253.580772714314,-1.38406675840089,0.391191355310544,-3.53808114522919,0.00040304617519452,0.00445752320105501
"KO:K02439",2.95448208249936,0.274728375308878,2.10835392320838,0.130304676214329,NA,NA
"KO:K02440",63.5349892477447,-0.363721467759062,0.486561432440701,-0.747534521868193,0.454740972467709,0.640539661257183
"KO:K02441",1.87242238943505,-0.723557622943634,1.31446414509198,-0.5504582423532,0.582005110393469,NA
"KO:K02442",0.0413341453373336,0.198482289568774,2.97522153832062,0.0667117681867847,0.946811165526362,NA
"KO:K02443",0.388345416010431,0.206334396546124,2.95644181025771,0.0697914620981963,0.944359642866922,NA
"KO:K02444",5.725912333525,0.895443902938877,1.34451078217104,0.665999793242987,0.505411232556533,0.686374983438049
"KO:K02445",0.399806844565889,-0.325338235737564,2.95541027510439,-0.110082257775893,0.912344138877323,NA
"KO:K02446",22.838390692443,-1.78827823982612,1.03156326683195,-1.73356137943737,0.0829959379750949,0.216026569986604
"KO:K02448",2.34288860078339,2.1287557099434,1.28941216050672,1.65095054563998,0.0987486735207668,NA
"KO:K02450",156.744982658866,-0.413834515824413,0.400797523709001,-1.03252762640539,0.301825012631981,0.505243786078929
"KO:K02451",1.54919800311211,0.0558986741785776,2.49131166018012,0.0224374473382974,0.982099009207159,NA
"KO:K02452",6.83846082985401,0.220311735013277,0.911280365660385,0.241760651622975,0.808965630000643,0.894378263265274
"KO:K02453",226.667417729352,1.81918583148192,0.531885467242245,3.42025857731017,0.000625616383879375,0.00619496223602294
"KO:K02454",152.184699465093,0.72418417506027,0.479900800211735,1.50902889668189,0.131291398358163,0.291457389107419
"KO:K02455",45.159298916104,1.02367603099971,0.645860912360569,1.58497907429985,0.112971088764963,0.263497260587956
"KO:K02456",543.795123115533,1.68586373607345,0.326260023104097,5.16723967599166,2.37576527810618e-07,1.10990880428448e-05
"KO:K02457",6.51562577003491,0.951910446068725,1.05911347987391,0.898780408480926,0.368769637489619,0.569646697334537
